nombre,domicilio,localidad,cp,longitud,latitud
VIGNOLO,GRAL. PAZ 4698,SANTA FE,3000,-60.69040253,-31.62663393
VINDEROLA,BV PELLEGRINI 3060,SANTA FE,3000,-60.70936605,-31.63434118
WUILLOUD,SAN JERONIMO 1900,SANTA FE,3000,-60.71002053,-31.65341021
ZENTNER,San Jerónimo 3101,SANTA FE,3000,-60.706165,-31.63965
ZIMERMAN,PADRE GENESIO 2971,SANTA FE,3000,-60.69780198,-31.59892285
QUEGLAS,RTO. 12 DE INFANTERA 4400,SANTA FE,3000,,
ADRIAN CARRIZO,BELGRANO 3405 LOCAL 2 Y 3,SANTO TOME,3016,,
BERTA,EJERCITO ARGENTINO 2695,SANTO TOME,3016,-60.77089944,-31.67245721
BONINO,RIVADAVIA 1786,SANTO TOME,3016,-60.76342465,-31.66307512
CIRELLI,25 DE MAYO 1654,SANTO TOME,3016,-60.76215055,-31.66204719
CONTINI,SARMIENTO 1776,SANTO TOME,3016,-60.75860274,-31.66205876
CRUZ,MARIANO CANDIOTI 2493,SANTO TOME,3016,,
ERICA TEPP,AVDA. RICHIERI 3296,SANTO TOME,3016,,
ESCOBAR,AV. 7 DE MARZO 1527,SANTO TOME,3016,-60.75681734,-31.6673875
GOMEZ,GABOTO 1801,SANTO TOME,3016,-60.7605525,-31.67019359
DIAZ,"RUTA 1 KM. 3,5",COLASTINE NORTE,3001,,
MACAGNO,7 DE MARZO 2601,SANTO TOME,3016,-60.76840626,-31.66607546
MARCOLINI,AV. LUJAN 2672,SANTO TOME,3016,-60.76780851,-31.6714109
MARIANA GOMEZ,AV. LUJAN 2468,SANTO TOME,3016,-60.76656665,-31.66979627
MARTA TEPP,AV. LUJAN 3634,SANTO TOME,3016,-60.77460962,-31.67994823
MARTINEZ,HIPOLITO IRIGOYEN 2278,SANTO TOME,3016,-60.76394505,-31.66826517
MAYORAZ,25 DE MAYO 2023,SANTO TOME,3016,-60.76336093,-31.66577496
NATALIA CAPORIZZO,ARISTÓBULO DEL VALLE 8908,SANTO TOME,3016,-60.6906107,-31.5857436
OLIVERO,HERNANDARIAS 1793,SANTO TOME,3016,-60.76090601,-31.67415149
PALACIN,MARCIAL CANDIOTTI 3677,SANTO TOME,3016,,
JULIETA PESCETTI,Av. 7 de Marzo 1760,SANTO TOME,3016,-60.75929224,-31.66706361
QUASSOLO,Sarmiento 2343,SANTO TOME,3016,-60.76458827,-31.66130205
SAN ROQUE,AV. 7 DE MARZO 2118,SANTO TOME,3016,-60.76370061,-31.66661131
SAUCO,ALBERDI 2168,SANTO TOME,3016,-60.76714135,-31.68149784
EL INCA,SAN MARTIN 2255,SANTA FE,3000,-60.7076883,-31.6496157
FARMACIA DANIEL LAGGER,Av. Facundo Zuviría 6536,SANTA FE,3000,-60.70319116,-31.606146
FIGUEROA SOBRERO,GENERAL PAZ 7471,SANTA FE,3000,-60.675034,-31.603387
FARMACIA HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA,Mendoza 4151,SANTA FE,3000,-60.7274488,-31.6441392
COLUCCI,Avenida Gobernador Freyre 1908,SANTA FE,3000,-60.719984,-31.651567
FARMACIA DEL AHORRO,Mendoza 2676,SANTA FE,3000,-60.708304,-31.648809
BOLOGNESI,AVENIDA FDO. ZUVIRIA 5079,SANTA FE,3000,-60.7056037,-31.619794
FANESSI,1 DE MAYO 2899,SANTA FE,3000,-60.7093019,-31.641632
BERRON,Diagonal Goyena 3221,SANTA FE,3000,-60.706257,-31.615776
ESCUDERO,Avenida Galicia 1881,SANTA FE,3000,-60.68642065,-31.60682787
FARMACIA INTERNA DEL CEMAFE HEROES DE MALVINAS,Mendoza 2419,SANTA FE,3000,-60.7057757,-31.64947168
