nombre,domicilio,localidad,cp,longitud,latitud
BABINI,MENDOZA 7735,ROSARIO,2000,-60.72748661,-32.9406554
INTILE,GUEMES 2499,ROSARIO,2000,-60.654706,-32.932479
VIDAL,SAN NICOLAS 301,ROSARIO,2000,-60.671099,-32.934659
RAMKIN,URQUIZA 5835,ROSARIO,2000,-60.703028,-32.933164
HOSPITAL DR JUAN BAUTISTA ALBERDI,PUCCIO JOSE 575,ROSARIO,2000,-60.69172,-32.894705
FERRARI,CRESPO 2102,ROSARIO,2000,-60.672323,-32.956609
GALIZIA,Bv SEGUI 1701,ROSARIO,2000,-60.654899,-32.977384
HOSPITAL DE NIÑO ZONA NORTE (FCIA INTERNA),DE LOS TRABAJADORES 1331,ROSARIO,2000,-60.67921,-32.911964
CAPPONE,Bv OROÑO,ROSARIO,2000,-60.66570658,-32.9914565
SANTA MONICA,OVIDIO LAGOS 3049,ROSARIO,2000,-60.667945,-32.968329
CASA,BAIGORRIA 1710,ROSARIO,2000,-60.704938,-32.893768
OVEID,JJ PASO 802,ROSARIO,2000,-60.675327,-32.919115
LUCHETTA(dupl),BUENOS AIRES 1654,ROSARIO,2000,-60.635244,-32.957689
DI MONACO,PTE. ROCA 1462,ROSARIO,2000,-60.647131,-32.953134
PARISI,Av FRANCIA 1501,ROSARIO,2000,-60.667816,-32.950271
LA UNIVERSIDAD,SALTA 2801,ROSARIO,2000,-60.660113,-32.935145
LA UNION,AYACUCHO 5576,ROSARIO,2000,-60.636038,-33.001124
SAENZ PEÑA,Av ARIJON 702,ROSARIO,2000,-60.644985,-33.002689
TORRESI,BUENOS AIRES 4271,ROSARIO,2000,-60.642775,-32.9875
SANTAMBROSIO,Av URIBURU 721,ROSARIO,2000,-60.643784,-32.990362
CUBO,MONTEVIDEO 1983,ROSARIO,2000,-60.652796,-32.953872
SCARAVAGLIONE,CORRIENTES 962,ROSARIO,2000,-60.642883,-32.94766
GABBI,SARMIENTO 1416,ROSARIO,2000,-60.64005,-32.95398
EXPRESS,Bv RONDEAU 4147,ROSARIO,2000,-60.698192,-32.876361
SCARPIGNATO,BV. OROÑO 1509,ROSARIO,2000,-60.655586,-32.952414
CICCONI,CERRITO 684,ALVAREZ,2107,-60.806637,-33.129789
MARINELLI,AYACUCHO 2097,ROSARIO,2000,-60.630716,-32.963613
DESANO,MITRE 2078,ROSARIO,2000,-60.643312,-32.961254
CARESTIA,PARAGUAY   2104,ROSARIO,2000,-60.647646,-32.960948
SERGIO RODRIGUEZ,TUCUMAN 7782,ROSARIO,2000,-60.729207,-32.933092
BERTERO,EVA PERON 7025,ROSARIO,2000,-60.71695089,-32.93228128
